id;question;difficulty_level;correct_answer;answer2;answer3;answer4;topic_id;topic_name
152;Find the conditional extrema of the function $f(x,y)=x^2+y^2-x-y$ having the constraint $x+y=1.$;5;The problem has the minimizer $\left(\frac{1}{2}, \frac{1}{2}\right),$ the minimum value of the function being $-\frac{1}{2}.$;There are two minimizers $\left(\frac{1}{4}, \frac{3}{4}\right)$ and $\left(\frac{3}{4},\frac{1}{4}\right)$ where the minimum value of the function is $-\frac{3}{8}.$;There are two maximizers $\left(\frac{2}{5}, \frac{3}{5}\right)$ and $\left(\frac{3}{5},\frac{2}{5}\right)$ where the maximum value of the function is $-\frac{12}{25}.$;The problem has no extrema corresponding to this constraint.;12;Optimization
153;The differentiable function $f:{\mathbb R}^2 \rightarrow \mathbb R$, $f(x,y)=\operatorname{e}^y \varphi \bigg(y\operatorname{e}^{\frac{x^2}{2y^2}}\bigg),$ where $\varphi:\mathbb R\rightarrow \mathbb R$ is a ${\cal C}^1$-class function, satisfies the equation:;1;$(x^2-y^2)\frac{\partial f}{\partial x}+xy\frac{\partial f}{\partial y}=xyf$;$(x^2-y^2)\frac{\partial^2 f}{\partial x^2}+xy\frac{\partial^2 f}{\partial y^2}=x^2y^2f$;$(x^2+y^2)\frac{\partial f}{\partial x}+(x+y)\frac{\partial f}{\partial y}=\frac{x}{y}f$;$\frac{\partial f}{\partial x}+\frac{xy}{x^2+y^2}\frac{\partial f}{\partial y}=f$;4;Differentiation
154;"Find the critical and the extremum points of the function:
\[
f(x,y,z)=x^{3}+y^{3}+z^{3}+8(xy+xz+yz)-20(x^{2}+y^{2}+z^{2})+17
\].";1;"$$\begin{align*}
& M_{1}(0,0,0),~M_{2}\left(  8,8,8\right)  ,~M_{3}\left(  \frac{16}{3}
,\frac{16}{3},\frac{32}{3}\right)  ,~M_{4}\left(  \frac{32}{3},\frac{16}
{3},\frac{16}{3}\right)  ,~M_{5}\left(  \frac{16}{3},\frac{32}{3},\frac{16}
{3}\right)\\
&\text{ critical points}\\
& M_{1}(0,0,0)\text{ is a maximizer}
\end{align*}$$";"$$\begin{align*}
& M_{1}(0,0,0),~M_{2}\left(  8,8,8\right)  ,~M_{3}\left(  \frac{16}{3}
,\frac{16}{3},\frac{32}{3}\right)  ,~M_{4}\left(  \frac{32}{3},\frac{16}
{3},\frac{16}{3}\right)  ,~M_{5}\left(  \frac{16}{3},\frac{32}{3},\frac{16}
{3}\right)\\
& \text{ critical points}\\
& M_{1}(0,0,0)\text{ maximizer},~M_{2}\left(  8,8,8\right)\text{ minimizer}%
\end{align*}$$";"$$\begin{align*}
& M_{1}(0,0,0),~M_{2}\left(  8,8,8\right)  \text{ critical points}\\
& M_{1}(0,0,0)\text{ maximizer},~M_{2}\left(  8,8,8\right)\text{ minimizer}%
\end{align*}$$";"$$\begin{align*}
& M_{1}(0,0,0),~M_{2}\left(  8,8,8\right)  \text{ critical points}\\
& M_{1}(0,0,0),~M_{2}\left(  8,8,8\right)\text{ minimizer}
\end{align*}$$";12;Optimization
155;"Find all the extremum points of the function
\[
f(x,y,z)=xyz
\]
with respect to
\[
x+y+z=5,\quad x^{2}+y^{2}+z^{2}=9.
\]";1;"$$\begin{align*}
& M_{1}(2,2,1),~M_{2}\left(  2,1,2\right)  ,~M_{3}\left(  1,2,2\right)  \text{
minimizers,}\\
& M_{4}\left(  \frac{4}{3},\frac{4}{3},\frac{7}{3}\right)  ,~M_{5}\left(
\frac{4}{3},\frac{7}{3},\frac{4}{3}\right)  ,\text{ }M_{6}\left(  \frac{7}
{3},\frac{4}{3},\frac{4}{3}\right)  \text{ maximizers}%
\end{align*}$$";"$$\begin{align*}
& M_{4}\left(  \frac{4}{3},\frac{4}{3},\frac{7}{3}\right)  ,~M_{5}\left(
\frac{4}{3},\frac{7}{3},\frac{4}{3}\right)  ,\text{ }M_{6}\left(  \frac{7}
{3},\frac{4}{3},\frac{4}{3}\right)  \text{ maximizers}
\end{align*}$$";"$$\begin{align*}
& M_{1}(2,2,1),~M_{2}\left(  2,1,2\right)  ,~M_{3}\left(  1,2,2\right)  \text{
minimizers}
\end{align*}$$";"$$\begin{align*}
& M_{1}(2,2,1),~M_{2}\left(  2,1,2\right)  ,~M_{3}\left(  1,2,2\right)  \text{
maximizers}
\end{align*}$$";12;Optimization
156;Solve the Cauchy problem $x'+2tx=2t^{3}e^{-2t^2}$ knowing that $x(0)=1$.;3;$x=2\operatorname{e}^{-t^2}-(t^{2}+1)\operatorname{e}^{-2t^2}$.;$x=3\operatorname{e}^{-t^2}-(t^{2}+2)\operatorname{e}^{-2t^2}$.;$x=2\operatorname{e}^{-t}-(t^{2}+1)\operatorname{e}^{-2t}$.;$x=(t^{2}+1)\operatorname{e}^{-2t^2}$.;16;Differential Equations
157;Find the general solution of the differential equation $x\ln\bigg( \dfrac{x}{y}\bigg)dy-ydx=0$.;3;$x=y\e^{Cy+1}$, $C\in\mathbb{R}\setminus\{0\}$.;$x=y\e^{Cy-1}$, where $C\in\mathbb{R}$.;$x=(y+1)\e^{Cy+1}$, where $C\in\mathbb{R}$.;$x=(y-1)\e^{Cy+1}$, where $C\in\mathbb{R}$.;16;Differential Equations
158;Find the general solution of the differential equation $(x-2y+5)dx+(2x-y+4)dy=0$.;3;$(x+y-1)^{3}=C(x-y+3)$, $C\in\mathbb{R}$;$(x+y+1)^{3}=C(x-y-3)$, $C\in\mathbb{R}$;$(x-y+1)^{3}=C(x-y+3)$, $C\in\mathbb{R}$;$(x+y-1)^{3}=C(x+y-3)$, $C\in\mathbb{R}$;16;Differential Equations
159;Solve the Cauchy problem $xy'-ny=x^{n+1}e^x$ with $y(1)=1$ and $n\in\mathbb{N}$.;1;$y(x)=x^n(\operatorname{e}^x-\operatorname{e}+1)$;$y(x)=(x^n+1)(\operatorname{e}^x-\operatorname{e}+1)$;$y(x)=(x^n-1)(\operatorname{e}^x-\operatorname{e}-1)$;$y(x)=x^n(\operatorname{e}-\operatorname{e}^x+1)$;16;Differential Equations
160;Solve the Cauchy problem $y''-4y'+5y = 2x^2e^x$ knowing that $y(0)=2$ and $y'(0)=3$.;2;$y(x)=\operatorname{e}^{2x}(\cos( x)-2\sin (x))+\operatorname{e}^{x}(x+1)^{2}$.;$y(x)=\operatorname{e}^{2x}(\cos( x)-2\sin (x))+\operatorname{e}^{x}(x-1)^{2}$.;$y(x)=\operatorname{e}^{2x}(\cos( x)+2\sin( x))+\operatorname{e}^{x}(x+1)^{2}$.;$y(x)=\operatorname{e}^{2x}(\cos( x)+2\sin( x))+\operatorname{e}^{x}(x-1)^{2}$.;16;Differential Equations
161;Solve the Cauchy problem $y''-2y'+2y=2e^{x}\cos(x)-4xe^x\sin(x)$ knowing that $y(0)=1$ and $y'(0)=2$.;3;$y(x)=\operatorname{e}^{x}[(x^{2}+1)\cos( x)+\sin (x)]$.;$y(x)=\operatorname{e}^{x}[(2x^{2}+1)\cos (x)+\sin (x)]$.;$y(x)=\operatorname{e}^{x}[(x^{2}+1)\cos (x)-\sin (x)]$.;$y(x)=\operatorname{e}^{x}[(x^{2}+1)\cos (x)+x\sin (x)]$.;16;Differential Equations
162;Find an integrating factor of the form $\mu=\mu(x+y)$ and solve the differential equation $(2x^{3}+3x^{2}y+y^{2}-y^{3})dx+(2y^{3}+3xy^{2}+x^{2}-x^{3})dy=0$.;1;$\mu=(x+y)^{-2}$, the solution is $x^{3}+xy+y^{3}=C(x+y)$, $C\in\mathbb{R}$;$\mu=(x+y)^{2}$, the solution is $x^{3}+xy+y^{3}=C(x+y)$, $C\in\mathbb{R}$;$\mu=(x+y)^{-2}$, the solution is $x^{3}-xy+y^{3}=C(x+y)$, $C\in\mathbb{R}$;$\mu=(x+y)^{2}$, the solution is $x^{3}-xy+y^{3}=C(x+y)$, $C\in\mathbb{R}$;16;Differential Equations
163;"Find the solution of the following system of differential equations
$\begin{cases}
y_{1}'-y_{1}-y_{2}=-\cos (x) \\
y_{2}'+2y_{1}+y_{2}=\sin (x)+\cos( x)
\end{cases}$
which satisfies the initial conditions 
$y_{1}(0)=1$ and $y_{2}(0)=-2$.";1;"$\begin{cases}
y_{1}(x)=(1-x)\cos(x)-\sin( x) \\
y_{2}(x)=(x-2)\cos( x)+x\sin( x)
\end{cases}$";"$\begin{cases}
y_{1}(x)=(1+x)\cos( x)-\sin( x)\\
y_{2}(x)=(x-2)\cos (x)-x\sin( x)
\end{cases}$";"$\begin{cases}
y_{1}(x)=(1-x)\cos x+\sin x\\
y_{2}(x)=(x-2)\cos x-x\sin x
\end{cases}$";"$\begin{cases}
y_{1}(x)=(1+x)\cos (x)-\sin (x)\\
y_{2}(x)=(x-2)\cos( x)+x\sin( x)
\end{cases}$";16;Differential Equations
164;Find the solution of the Cauchy problem $e^t\cos(x) \ dt = (1+ e^{2t})\tan( x) \ dx$ knowing that $x(0)=0$.;2;$\arctan(e^t)=\dfrac{1}{\cos( x)}+\dfrac{\pi}{4}-1$;$\arctan(e^t)=\dfrac{1}{\cos (x)}+\dfrac{\pi}{4}$;$\arctan(e^t)=\ln(\cos^{2}(t))+\dfrac{\pi}{4}-1$;$\ln(1+ e^{2t})=\dfrac{1}{\cos (x)}+\dfrac{\pi}{4}-1$;16;Differential Equations
165;Find the general solution of the equation $(t+2x) \cdot dt+x \cdot dx=0$ knowing that $t>0$ and $t+x>0$.;2;$\frac{t}{t+x}+\ln (t+x)=C, \,C\in \mathbb{R}$.;$\frac{t}{t-x}+\ln (t+x)=C, \,C\in \mathbb{R}$.;$\ln( t)+\ln (t+x)^{2}=C, \,C\in \mathbb{R}$.;$\frac{t}{t+2x}+\ln (t+2x)=C, \,C\in \mathbb{R}$.;16;Differential Equations
166;Given a fixed point $P(a,b,c)$ in the first octant ($a>0,~b>0,~c>0$), consider a variable plane which contains $P$ and intersects the coordinate axes $O_x,$ $O_y$ and $O_z$ at the points $A,$ $B$ and $C,$ respectively. Find the minimum volume of the tetrahedron $OABC$.;1;$\frac{9}{2}abc$;$\frac{abc}{3}$;$\frac{4}{3}abc$;$\frac{3}{2}abc$;12;Optimization
167;"Solve the following differential equation if the integrating factor is of the form  $\mu=\mu(x)$:
$$(y+\ln (x))dx-xdy=0, \text{where } x>0$$";1;$y(x)=Cx-1-\ln( x), \,x>0,\,C\in \mathbb{R}$.;$y(x)=Cx-1+\ln( x), \,x>0,\,C\in \mathbb{R}$.;$y(x)=\dfrac{C}{x}-1-\ln (x), \,x>0,\,C\in \mathbb{R}$.;$y(x)=\dfrac{C}{x}-1+\ln (x), \,x>0,\,C\in \mathbb{R}$.;16;Differential Equations
168;"Find the solution of the Cauchy problem

$\begin{cases}
x' \cdot \sin^{2}(t)+2x \cdot \sin( t) \cdot \cos( t) = 2\cos( t),\,t\in (0,\pi) \\
x\left(\dfrac{\pi}{2}\right)=1.
\end{cases}$";2;$x(t)=\left(2\sin( t)-1\right)\dfrac{1}{\sin^{2}(t)}, \,t\in (0,\pi)$.;$x(t)=(2\sin( t)+1)\dfrac{1}{\sin^{2}(t)}, \,t\in (0,\pi)$.;$x(t)=(2\sin( t)\cos( t)-1)\dfrac{1}{\sin^{2}(t)}, \,t\in (0,\pi)$.;$x(t)=(2\sin( t)-1)\dfrac{1}{\cos^{2}(t)}, \,t\in (0,\pi)$.;16;Differential Equations
169;Find the general solution of the differential equation $x''+4x'+4x=2e^{-2t}$.;3;$x(t)=C_{1}\operatorname{e}^{-2t}+C_{2}t\operatorname{e}^{-2t}+t^{2}\operatorname{e}^{-2t},\, C_{1}, C_{2}\in \mathbb{R}$.;$x(t)=C_{1}\operatorname{e}^{-2t}+C_{2}t\operatorname{e}^{-2t}+t\operatorname{e}^{-2t},\, C_{1}, C_{2}\in \mathbb{R}$.;$x(t)=C_{1}\operatorname{e}^{-2t}+C_{2}\operatorname{e}^{-2t}+t^{2}\operatorname{e}^{-2t},\, C_{1}, C_{2}\in \mathbb{R}$.;$x(t)=C_{1}\operatorname{e}^{-2t}+t^{2}\operatorname{e}^{-2t},\, C_{1}, C_{2}\in \mathbb{R}$.;16;Differential Equations
170;Find the general solution of the differential equation $x'''-3x'' +7x'-5x=e^t\cos( 2t)+te^t$.;3;$x(t)=C_{1}\operatorname{e}^{t}+C_{2}\operatorname{e}^{t}\cos (2t)+C_{3}\operatorname{e}^{t}\sin (2t)+\frac{1}{8}t^{2}\operatorname{e}^{t}-\frac{1}{8}t\operatorname{e}^{t}\cos (2t),\,C_{1}, C_{2}, C_{3}\in \mathbb{R}$;$x(t)=C_{1}\operatorname{e}^{t}+C_{2}\operatorname{e}^{t}\cos (2t)+C_{3}\operatorname{e}^{t}\sin (2t)+\frac{1}{8}\operatorname{e}^{t}-\frac{1}{8}t\operatorname{e}^{t}\cos (2t),\,C_{1}, C_{2}, C_{3}\in \mathbb{R}$;$x(t)=C_{1}\operatorname{e}^{t}+C_{2}\operatorname{e}^{t}\cos (2t)+C_{3}\operatorname{e}^{t}\sin (2t)+t^{2}\operatorname{e}^{t}-\frac{1}{8}t\operatorname{e}^{t}\cos (2t),\,C_{1}, C_{2}, C_{3}\in \mathbb{R}$;$x(t)=C_{1}e^{t}+C_{2}t\operatorname{e}^{t}\cos (2t)+C_{3}t\operatorname{e}^{t}\sin (2t)+t^{2}\operatorname{e}^{t}-t\operatorname{e}^{t}\cos (2t),\,C_{1}, C_{2}, C_{3}\in \mathbb{R}$;16;Differential Equations
171;"Determine the set of continuity points of the function $f:\mathbb{R}^{2} \rightarrow \mathbb{R}$ given by 
$f(x,y) = \begin{cases}
\dfrac{(x^{4}-y^{2})^{2}}{x^6} & \text{if } y^{2}<{x^{4}} \\
y & \text{if }y^{2}\geq {x^{4}}
\end{cases}$.";2;$\left\{(x,y)\in\mathbb{R}^{2} \mid y^{2} \neq x^{4}\right\} \cup\left\{\left(0,0\right)\right\}$.;$\left\{\left(0,0\right)\right\}$.;$\left\{(x,y) \in \mathbb{R}^{2} \mid y^{2} \neq x^{4}\right\}$.;$\mathbb{R}^{2}$.;15;Real Functions of Several Variables
172;"Find the general solution for the differential equation system

$\begin{cases}
x'(t)=2x+y \\
y'(t)=x+3y-z \\
z'(t)=-x+2y+3z
\end{cases}$";1;"$\begin{cases}
x(t)=C_{1}e^{2t}+C_{2}e^{3t}(2\cos (t)-\sin (t))+C_{3}e^{3t}(\cos (t)+2\sin (t))\\
y(t)=C_{2}e^{3t}(\cos (t)-3\sin (t))+C_{3}e^{3t}(3\cos (t)+\sin (t))\\
z(t)=C_{1}e^{2t}+5C_{2}e^{3t}\cos (t)+5C_{3}e^{3t}\sin (t),
\end{cases}$ 
where $C_{1}, C_{2}, C_{3} \in \mathbb{R}$.";"$\begin{cases}
x(t)=C_{1}e^{2t}+C_{2}e^{3t}(\cos (t)+\sin (t))+C_{3}e^{3t}(\cos (t)-2\sin (t))\\
y(t)=C_{2}e^{3t}(\cos (t)-3\sin (t))+C_{3}e^{3t}(3\cos (t)+\sin (t))\\
z(t)=C_{1}e^{2t}+5C_{2}e^{3t}\cos (t)+5C_{3}e^{3t}\sin (t),
\end{cases}$
where $C_{1}, C_{2}, C_{3} \in \mathbb{R}$.";"$\begin{cases}
x(t)=C_{1}e^{2t}+C_{2}e^{3t}(2\cos (t)-\sin (t))+C_{3}e^{3t}(\cos (t)+2\sin (t))\\
y(t)=C_{2}e^{3t}(\cos (t)+3\sin (t))+C_{3}e^{3t}(3\cos (t)-\sin (t))\\
z(t)=C_{1}e^{2t}+2C_{2}e^{3t}\cos t+3C_{3}e^{3t}\sin t,
\end{cases}$
where $C_{1}, C_{2}, C_{3} \in \mathbb{R}$.";"$\begin{cases}
x(t)=C_{1}e^{2t}+C_{2}e^{t}(2\cos (t)-\sin (t))+C_{3}e^{t}(\cos (t)+2\sin (t))\\
y(t)=C_{2}e^{t}(\cos (t)-3\sin (t))+C_{3}e^{t}(3\cos (t)+\sin (t))\\
z(t)=C_{1}e^{2t}+5C_{2}e^{t}\cos (t)+5C_{3}e^{t}\sin (t),
\end{cases}$
where $C_{1}, C_{2}, C_{3} \in \mathbb{R}$.";16;Differential Equations
173;"In case of existence, compute the $\lim\limits_{(x,y,z) \rightarrow (0,0,0)}\left(  x^2+y^2+z^2\right)
^{(xy+yz+zx)^2}$.";2;The limit exists and is equal to $0$.;The limit does not exist.;The limit exists and is equal to $e^1$.;The limit exists and is equal to $1$.;15;Real Functions of Several Variables
174;"Consider the function $f: \mathbb{R}^2 \rightarrow \mathbb{R}$ given by

$$f(x,y)=\begin{cases}
(x^2+y^2) \cdot \sin\left(\dfrac{1}{\sqrt{x^2+y^2}}\right) & \text{if } (x,y) \neq (0,0) \\
0 & \text{if } (x,y) = (0,0)
\end{cases}$$

Establish if $f$ is differentiable at $(0,0)$ and if $\dfrac{\partial f}{\partial x}$ and $\dfrac{\partial f}{\partial y}$ exist and are continuous at $(0,0)$.";2;$f$ is differentiable at $(0,0)$, but $\dfrac{\partial f}{\partial x}$ and $\dfrac{\partial f}{\partial y}$ are not continuous at $(0,0)$.;$f$ is not differentiable at $(0,0)$, and $\dfrac{\partial f}{\partial x}, \dfrac{\partial f}{\partial y}$ are not continuous at $(0,0)$.;$f$ is differentiable at $(0,0)$, and $\dfrac{\partial f}{\partial x}, \dfrac{\partial f}{\partial y}$ are continuous at $(0,0)$.;$f$ is differentiable at $(0,0)$, and $\dfrac{\partial f}{\partial x}$ and $\dfrac{\partial f}{\partial y}$ do not exist at $(0,0)$.;15;Real Functions of Several Variables
175;"Consider the function $f:\mathbb{R}^{2} \rightarrow \mathbb{R}$ given by

$$f(x,y):=\begin{cases}
xy\dfrac{x^2-y^2}{x^2+y^2} & \text{if } (x,y)=(0,0) \\
0 & \text{if } (x,y) = (0,0)
\end{cases}$$

Calculate the second order derivatives at $(0,0)$ and establish if they are equal.";1;$1 = \dfrac{\partial^2 f}{\partial x \partial y}(0,0) \neq \dfrac{\partial^2 f}{\partial y \partial x}(0,0) = -1$.;$\dfrac{\partial^2 f}{\partial x \partial y}(0,0) = \dfrac{\partial^2 f}{\partial y \partial x}(0,0) = -1$.;$\dfrac{\partial^2 f}{\partial x \partial y}(0,0) = \dfrac{\partial^2 f}{\partial y \partial x}(0,0) = 1$.;$\dfrac{\partial^2 f}{\partial x \partial y}(0,0) = \dfrac{\partial^2 f}{\partial y \partial x}(0,0)=0$.;15;Real Functions of Several Variables
176;"If $f$ is given by $f(x,y)=(x^{2}%
+y^{2})\arctan\bigg(\dfrac{y}{x}\bigg)$, compute the expression $x^{2}\dfrac{\partial
^{2}f}{\partial x^{2}}+2xy\dfrac{\partial^{2}f}{\partial x\partial y}%
+y^{2}\dfrac{\partial^{2}f}{\partial y^{2}}.$";1;"$x^{2}\dfrac{\partial^{2}f}{\partial x^{2}}+2xy\dfrac{\partial^{2}f}{\partial
x\partial y}+y^{2}\dfrac{\partial^{2}f}{\partial y^{2}}=2f(x,y)$";"$x^{2}\dfrac{\partial^{2}f}{\partial x^{2}}+2xy\dfrac{\partial^{2}f}{\partial
x\partial y}+y^{2}\dfrac{\partial^{2}f}{\partial y^{2}}=f(x,y)$";"$x^{2}\dfrac{\partial^{2}f}{\partial x^{2}}+2xy\dfrac{\partial^{2}f}{\partial
x\partial y}+y^{2}\dfrac{\partial^{2}f}{\partial y^{2}}=-f(x,y)$";"$x^{2}\dfrac{\partial^{2}f}{\partial x^{2}}+2xy\dfrac{\partial^{2}f}{\partial
x\partial y}+y^{2}\dfrac{\partial^{2}f}{\partial y^{2}}=\arctan\bigg(\dfrac{y}{x}\bigg)$";4;Differentiation
177;"Throughout the week, a web store recorded the number of mobile phones sold per day:

$\begin{array}{ |l|c|c|c|c|c|c|c| } 
 \hline
 \text{Weekday}&\text{I} &\text{II} & \text{III} &\text{IV}& \text{V}&\text{VI}&\text{VII} \\ 
\hline
\text{Number of sold phones}& 12& 8&12&4&8&11&12 \\ 
 \hline
\end{array}$

Find the mode of the number of sold phones.";3;$12$;$8$;$4$;$11$;14;Statistics
178;A sample of 8 medical institutions in the country, found these monthly expenses for stationery (in euros): $69, 48, 99, 87, 93, 84, 80,$ and $98$. The expenses of the Red Cross hospital, which was not in the sample, were $1.5$ standard deviations below the sample mean. What were the expenses of the Red Cross hospital?;2;$56.75$;$107.75$;$106.10$;$58.40$;14;Statistics
179;A researcher studies the wind speed in a particular city. A sample of two hundred observations was recorded. The mean speed was calculated to be $10 m/s$ and the median speed was calculated to be $7 m/s$. Which of the following interpretations is correct?;2;$50\%$ of the sampled observations had speed that was less than or equal to $7 m/s$.;The most frequently occurring wind speed in the sample was $7 m/s$.;$50\%$ of the sampled observations had speed that was equal to $7 m/s$.;$50\%$ of the sampled observations had speed that was less than or equal to $10 m/s$.;14;Statistics
180;For the distribution shown below, identify the mean, the median, and the mode.;3;X is the mean, Y is the median, and Z is the mode.;Y is the mean, Z is the median, and X is the mode.;Z is the mean, X is the median, and Y is the mode.;Z is the mean, Y is the median, and X is the mode.;14;Statistics
181;Calculate the range of the following data set: $76, 75, 73, 72, 75, 76, 77, 78, 75, 76, 76, 75, 76, 77, 76, 80, 76, 73, 74, 77$.;3;$8$;$80$;$72$;$152$;14;Statistics
182;"The monthly amounts of steam (in pounds) used in a sample of eight chemical plants are listed below. Calculate the standard deviation of the usage. Round the result to two decimal places.

$$185, 214, 288, 424, 454, 540, 230, 490$$";3;$139.32$;$16984.86$;$130.33$;$19411.32$;14;Statistics
183;The diameters of six randomly chosen oak stems are $1.8, 1.5, 2.0, 2.5, 1.0,$ and $3.0$. Calculate the sample variance of these diameters (with the precision of two decimal places).;2;$0.51$;$0.42$;$0.71$;$0.65$;14;Statistics
184;"For evaluating the lifespan of tyres of a particular brand, the distances (in km) driven before the tyres were worn out were recorded for a random sample of $100$ cars. 
The data was agregated in a frequency table shown below. Which statement is true? 

$\begin{array}{ |c|c|} 
\hline
\text{Kilometers}&\text{Frequency} \\ 
\hline
0 -30 000& 15\\ 
30 001 - 60 000 & 25\\ 
60 001 - 90 000 & 60\\ 
 \hline
\end{array}$";2;The sample range is at least $30 001$ but at most $90 000$.;The sample range is $100$.;The sample range is at least $30 000$ but  at most $90 000$.;The sample range is $90 000$.;14;Statistics
185;If the mode is smaller than the median and the median is smaller than the mean, the distribution is:;4;positively skewed.;negatively skewed.;symmetrical.;normal.;14;Statistics
186;The study of oak heights was conducted in the Wolf forest, which has approximately $1000$ oaks. The heights of $10$ randomly chosen oaks from this forest are $20, 18, 19, 25, 30, 22, 29, 21, 17,$ and $20$. What is the sample size in this study?;3;$10$;$1000$;$1010$;$990$;14;Statistics
187;The university rector wants to know the average age of the final year students at his university. The sample of $100$ students was randomly chosen from the database. What is the variable of interest in this situation?;3;The age of the final year students.;The final year students.;All university students.;$100$ students from this university.;14;Statistics
188;The Fire Safety Department conducted a study to determine the percentage of households in the country that have smoke detectors. $1000$ households were checked and $875$ of them had a detector. Identify the sample of interest.;2;The $1000$ households that were checked.;All the households of the country.;All the smoke detectors of the country.; All the households that have a detector.;14;Statistics
189;The Fire Safety Department conducted a study to determine the percentage of households in the country that have smoke detectors. $1000$ households were checked and $875$ of them had a detector. Identify the population of interest in this case.;2;All the households of the country. ;All the smoke detectors of the country.; All the households that have a detector.; The $1000$ households that were checked.;14;Statistics
190;What are the possible types of data in statistics?;2;Numerical (quantitative), categorical (qualitative or nominal), and ordinal (ranked).;Random and not random.; Continuous and discrete.;Numerical and nominal.;14;Statistics
191;Which kind of data describing a salary will not be quantitative? ;2;The currency. ;The amount.;The percentage of that salary in the whole family income.;The number of digits in the amount.;14;Statistics
192; Find $\displaystyle \int \sqrt{1-x^2}\: dx$ ;1;$\displaystyle \frac{1}{2}\arcsin{(x)}+\frac{x}{2}\sqrt{1-x^2}+c$;"$\arcsin{(1-x^2)}+c$
";"$\sqrt{1-x^2}+c$
";$x+c$;5;Integration
193;"Use the sample below to choose the correct statement.

$\begin{array}{ |c|c|} 
\hline
\text{Number of children}&\text{Frequency}  \\ 
\hline
0 & 10 \\
1 & 13 \\
2 & 24 \\
3 & 12 \\
4 & 8\\
5 & 2 \\
6 & 1 \\
\hline
\end{array}$";2;The lower quartile is $1$, the upper quartile is $3$, and the median is $2$.;The lower quartile is $0$, the upper quartile is $6$, and the median is $3$.;The lower quartile is $10$, the upper quartile is $1$, and the median is $12$.;The lower quartile is $1$, the upper quartile is $3$, and the median is $1$.;14;Statistics
194;"The number of theater tickets purchased per year was sampled for $20$ randomly selected people:
$6, 4, 7, 9, 9, 11, 2, 6, 9, 4, 5, 3, 3, 5, 5, 2, 5, 6, 7,$ and $6$. What is the $30^{th}$ percentile for this sample?";5;$4.7$;$5.5$;$11$;$4$;14;Statistics
195;"For the summary of a sample given below, identify the possible outliers using the interquartile range.

$\begin{array}{ |c|c|c|c|c|} 
\hline
\text{MIN}&\text{$Q_1$}&\text{Median}&\text{$Q_3$}&\text{MAX}  \\ 
\hline
10 & 17& 18& 23& 78 \\
\hline
\end{array}$";5;The outlier is $78$.;The outliers are $10$ and $78$.;The outlier is $30$.;The outliers are $17$, $18$ and $23$.;14;Statistics
196;The given boxplot describes certain sampled data. Which of the following statements about the sample characteristics is correct?;4;Min $=2$, Max $=11.5$, $Q_1=3$, $Q_3=10$, and Median $=5$.;Min $=3$, Max $=10$, $Q_1=2$, $Q_3=11.5$, and Median $=5$.;Min $=2$, Max $=11.5$, $Q_1=3$, $Q_3=5$, and Median $=10$.;Min $=2$, Max $=11.5$, $Q_1=7$, $Q_3=5$, and Median $=4.5$.;14;Statistics
197;"A survey was conducted to determine how people appreciate the medical care system in their country. The range of ratings is from $0$ (unsatisfied at all) to $10$ (satisfied very much). The stem-and-leaf displays the results.

$\begin{array}{ c|l} 
1 & 1 4 5 2  \\ 
2 & 2 5 7 1 \\
4 & 2 8 1 \\
6 & 9 8 2 \\
8 & 1 9 3 \\
9 & 9 1 4
\end{array}$

What percentage of the respondents rated the medical care system by at least $5$?";2;Approximately $32.7 \%$.;Approximately $50 \%$.;Approximately $43.2 \%$.;Approximately $73.8$.;14;Statistics
198;"The contingency table below shows the results of a random sample of $499$ students that was drawn to see whether or not their sports habits are dependent on the university where they are studying. 
Use the chi-square distribution to determine the rejection region for this test when testing at $\alpha = 0.01$.

$\begin{array}{ |r|lll|} 
\hline
& \rlap{\textbf{University}}   \\  
\textbf{Sport habits} &A&B& C\\   \hline
\text{Exercise}&104&50&11 \\   \hline
\text{No exercise}&50&37&12 \\   \hline
\text{Exercise non regularly}&148&73&14  \\   \hline
\end{array}$";5;Reject $H_0$ if $ \chi^2> 13.277$.;Reject $H_0$ if $ \chi^2> 16.812$.;Reject $H_0$ if $ \chi^2> 11.345$.;Reject $H_0$ if $ \chi^2> 12.592$.;14;Statistics
199;Researchers have claimed that the average number of exercise hours per student during a month is $11$. The students in mathematics believe that the real average is higher. In a sample of $n = 50$ students, the mean exercise time is $15$ hours with a deviation of $4$ hours. Which of the following represent the null and alternative hypotheses necessary to test the students' belief?;4;$H_0: \mu = 11$ v.s. $H_a: \mu > 11$.;$H_0: \mu = 15$ v.s. $H_a: \mu = 11$.;$H_0: \mu = 15$ v.s. $H_a: \mu > 15$.;$H_0: \mu = 11$ v.s. $H_a: \mu \neq 11$.;14;Statistics
